SUNBLOCKER,BATH TOWEL,SNACK
BATH TOWEL,SUNBLOCKER,SNACK,COKE
BATH TOWEL,JUICE,NEWSPAPER
BOOK,WATER,BATH TOWEL,SUNBLOCKER
WATER,JUICE,SNACK
BATH TOWEL,JUICE,NEWSPAPER
WATER,JUICE,COKE
WATER,BATH TOWEL,JUICE,SNACK
BOOK,WATER,BATH TOWEL,JUICE
BATH TOWEL,SUNBLOCKER
COFFEE,PARASOL,SNACK,COKE
COFFEE,PARASOL,SNACK,COKE
COFFEE,SUNGLASSES,NEWSPAPER
BATH TOWEL,COFFEE,PARASOL
BATH TOWEL,SUNGLASSES,SNACK
COFFEE,SUNGLASSES,COKE
BATH TOWEL,SUGER,NEWSPAPER
BATH TOWEL,COFFEE,SUNGLASSES
BATH TOWEL,COFFEE,SUNGLASSES
JUICE,SUNBLOCKER,COFFEE,COKE